sample_id,prediction_date,regime_bucket,research_scope,independent_news_source_count,fundamental_ticker_coverage,fundamental_coverage_state,event_evidence_ready,fundamental_evidence_ready,eligible_for_full_kg_backtest,kg_backtest_state,future_return_1d,future_return_5d,future_return_20d,future_max_drawdown_20d
HIST-20080201,2008-02-01,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.014038115100681425,-0.04364984175114772,-0.06404868709989175,-0.06404868709989175
HIST-20080220,2008-02-20,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.009557927898304786,0.007965883049830369,-0.03823363154574977,-0.06099204149360993
HIST-20080221,2008-02-21,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0036758689391369614,0.01378637048318776,-0.00910687883028416,-0.05193046119917255
HIST-20080222,2008-02-22,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.005036838040803238,-0.016712035481296517,0.021402241479332007,-0.05540267715819869
HIST-20080225,2008-02-25,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0038724309757662834,-0.02801780223890371,0.02198274898602426,-0.060136616799859155
HIST-20080226,2008-02-26,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.004992364003394201,-0.026321468706720696,0.015088322254975584,-0.06376213331549352
HIST-20080227,2008-02-27,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.0038386315103225987,-0.026416982851673154,-0.012324723964900364,-0.06841295494525312
HIST-20080303,2008-03-03,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.005624420333823155,-0.033044653117041856,0.06926670674273838,-0.033044653117041856
HIST-20080311,2008-03-11,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.002802067988169288,0.011673849196928598,0.04914965545625227,-0.03152002521228814
HIST-20080312,2008-03-12,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.007727053607415435,-0.010535955640576522,0.06709407498299469,-0.028798653007814368
HIST-20080313,2008-03-13,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.01835519221968629,0.0019439023796425925,0.029614413453789235,-0.03624563465322961
HIST-20080314,2008-03-14,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.01822496517248129,0.05597225736968792,0.044128694092058884,-0.01822496517248129
HIST-20080401,2008-04-01,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.002193229589690815,-0.0039485334060485044,0.04408842052240858,-0.03312129940556929
HIST-20080402,2008-04-02,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.002198050418909192,-0.012970126235019697,0.03781023189202726,-0.030996051272693337
HIST-20080428,2008-04-28,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.007620581251403413,0.02942434139933514,0.03831506648485439,-0.0006349779992943505
HIST-20080520,2008-05-20,正常／溫和上漲,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.022123123216145846,-0.00040638736847564694,-0.025370620237352592,-0.03856357688600476
