factor,factor_column,bucket,sample_count,avg_20d_return,median_20d_return,positive_rate,avg_20d_drawdown,correlation_20d_return,coverage_note
20日動能,qqq_ret_20d,偏低,167,0.027962803987898348,0.035898651512340285,0.6826347305389222,-0.0394998460604857,-0.05934715967193995,僅市場技術基線；不等同新聞或因果效果
20日動能,qqq_ret_20d,中性,166,0.008289584081826472,0.011596607931171787,0.5843373493975904,-0.03109507408043919,-0.05934715967193995,僅市場技術基線；不等同新聞或因果效果
20日動能,qqq_ret_20d,偏高,167,0.009548361790032451,0.021418690011495434,0.6586826347305389,-0.03381329726816689,-0.05934715967193995,僅市場技術基線；不等同新聞或因果效果
距50日均線,qqq_dist_ma_50,偏低,167,0.03280634184966271,0.04237867018894126,0.7125748502994012,-0.039110159656502795,-0.1400145991234648,僅市場技術基線；不等同新聞或因果效果
距50日均線,qqq_dist_ma_50,中性,166,0.005264063940062664,0.008732592761749647,0.5963855421686747,-0.03515235637322983,-0.1400145991234648,僅市場技術基線；不等同新聞或因果效果
距50日均線,qqq_dist_ma_50,偏高,167,0.0077122271829554645,0.01934297801808027,0.6167664670658682,-0.030169996482908804,-0.1400145991234648,僅市場技術基線；不等同新聞或因果效果
量能相對值,qqq_volume_ratio_20,偏低,167,0.01777504157169877,0.02198222993509602,0.6706586826347305,-0.03138612375652073,-0.03577080948055605,僅市場技術基線；不等同新聞或因果效果
量能相對值,qqq_volume_ratio_20,中性,166,0.008084535412594886,0.020528885298633948,0.6144578313253012,-0.038738953527274474,-0.03577080948055605,僅市場技術基線；不等同新聞或因果效果
量能相對值,qqq_volume_ratio_20,偏高,167,0.019939945039120922,0.021235629302228887,0.6407185628742516,-0.03432891185851116,-0.03577080948055605,僅市場技術基線；不等同新聞或因果效果
