run_id,started_at_utc,finished_at_utc,status,success_count,fallback_count,failure_count,failed_modules
20260613T100810+0000,2026-06-13T10:08:10+00:00,2026-06-13T10:12:56+00:00,success,21,0,0,
20260613T135858+0000,2026-06-13T13:58:58+00:00,2026-06-13T14:03:38+00:00,success,21,0,0,
20260613T192506+0000,2026-06-13T19:25:06+00:00,2026-06-13T19:29:52+00:00,success,21,0,0,
20260614T000316+0000,2026-06-14T00:03:16+00:00,2026-06-14T00:08:23+00:00,success,21,0,0,
20260614T040214+0000,2026-06-14T04:02:14+00:00,2026-06-14T04:06:57+00:00,success,21,0,0,
20260614T093359+0000,2026-06-14T09:33:59+00:00,2026-06-14T09:38:54+00:00,success,21,0,0,
20260614T140206+0000,2026-06-14T14:02:06+00:00,2026-06-14T14:06:46+00:00,success,21,0,0,
20260614T192634+0000,2026-06-14T19:26:34+00:00,2026-06-14T19:31:26+00:00,success,21,0,0,
20260615T000554+0000,2026-06-15T00:05:54+00:00,2026-06-15T00:10:36+00:00,success,21,0,0,
20260615T041505+0000,2026-06-15T04:15:05+00:00,2026-06-15T04:19:59+00:00,partial,20,1,0,
20260615T121302+0000,2026-06-15T12:13:02+00:00,2026-06-15T12:17:43+00:00,success,21,0,0,
20260615T205502+0000,2026-06-15T20:55:02+00:00,2026-06-15T20:59:44+00:00,success,21,0,0,
20260616T002816+0000,2026-06-16T00:28:16+00:00,2026-06-16T00:32:59+00:00,success,21,0,0,
20260616T040450+0000,2026-06-16T04:04:50+00:00,2026-06-16T04:09:30+00:00,success,21,0,0,
20260616T111000+0000,2026-06-16T11:10:00+00:00,2026-06-16T11:14:44+00:00,success,21,0,0,
20260616T165136+0000,2026-06-16T16:51:36+00:00,2026-06-16T16:58:16+00:00,success,21,0,0,
20260616T205004+0000,2026-06-16T20:50:04+00:00,2026-06-16T20:54:46+00:00,success,21,0,0,
20260617T001335+0000,2026-06-17T00:13:35+00:00,2026-06-17T00:18:36+00:00,success,21,0,0,
20260617T040537+0000,2026-06-17T04:05:37+00:00,2026-06-17T04:10:17+00:00,success,21,0,0,
20260617T105506+0000,2026-06-17T10:55:06+00:00,2026-06-17T11:00:29+00:00,success,21,0,0,
20260617T152851+0000,2026-06-17T15:28:51+00:00,2026-06-17T15:33:36+00:00,success,21,0,0,
20260617T201204+0000,2026-06-17T20:12:04+00:00,2026-06-17T20:16:57+00:00,success,21,0,0,
20260618T001402+0000,2026-06-18T00:14:02+00:00,2026-06-18T00:18:55+00:00,success,21,0,0,
20260618T035633+0000,2026-06-18T03:56:33+00:00,2026-06-18T04:01:28+00:00,success,21,0,0,
20260618T102027+0000,2026-06-18T10:20:27+00:00,2026-06-18T10:25:06+00:00,success,21,0,0,
20260618T152259+0000,2026-06-18T15:22:59+00:00,2026-06-18T15:27:46+00:00,success,21,0,0,
20260618T202546+0000,2026-06-18T20:25:46+00:00,2026-06-18T20:30:31+00:00,success,21,0,0,
20260619T002323+0000,2026-06-19T00:23:23+00:00,2026-06-19T00:28:09+00:00,partial,20,1,0,
20260619T041616+0000,2026-06-19T04:16:16+00:00,2026-06-19T04:20:56+00:00,partial,20,1,0,
20260619T102532+0000,2026-06-19T10:25:32+00:00,2026-06-19T10:30:12+00:00,success,21,0,0,
20260619T151540+0000,2026-06-19T15:15:40+00:00,2026-06-19T15:20:25+00:00,success,21,0,0,
20260619T194941+0000,2026-06-19T19:49:41+00:00,2026-06-19T19:54:30+00:00,success,21,0,0,
20260620T000600+0000,2026-06-20T00:06:00+00:00,2026-06-20T00:10:55+00:00,success,21,0,0,
20260620T033806+0000,2026-06-20T03:38:06+00:00,2026-06-20T03:43:02+00:00,success,21,0,0,
20260620T085518+0000,2026-06-20T08:55:18+00:00,2026-06-20T09:00:03+00:00,success,21,0,0,
20260620T140240+0000,2026-06-20T14:02:40+00:00,2026-06-20T14:07:32+00:00,success,21,0,0,
20260620T192545+0000,2026-06-20T19:25:45+00:00,2026-06-20T19:30:30+00:00,success,21,0,0,
20260621T000311+0000,2026-06-21T00:03:11+00:00,2026-06-21T00:07:58+00:00,success,21,0,0,
