symbol,date,target_date,future_return,label,feature_version,split,predicted_prob_up,predicted_label,prediction_direction,model_version,created_at_utc,validated_at_utc,success
TSLA,2026-05-22 00:00:00+00:00,2026-06-23 00:00:00+00:00,-0.10422296048510638,0,lstm-demo-v1,test,0.4500661,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-06-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,0.01134943052151094,1,lstm-demo-v1,test,0.45032406,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,False
TSLA,2026-06-08 00:00:00+00:00,2026-07-08 00:00:00+00:00,-0.03641035384270741,0,lstm-demo-v1,test,0.45761997,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-06-15 00:00:00+00:00,2026-07-15 00:00:00+00:00,-0.040593463916257067,0,lstm-demo-v1,test,0.46002963,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-06-23 00:00:00+00:00,2026-07-22 00:00:00+00:00,-0.019915557447837573,0,lstm-demo-v1,test,0.46453437,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-06-30 00:00:00+00:00,2026-07-29 00:00:00+00:00,-0.29072752497583665,0,lstm-demo-v1,test,0.4628451,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-07-08 00:00:00+00:00,2026-08-05 00:00:00+00:00,-0.18400753746856358,0,lstm-demo-v1,test,0.46545082,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-07-15 00:00:00+00:00,2026-08-12 00:00:00+00:00,-0.16972565821565078,0,lstm-demo-v1,test,0.46847546,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-07-22 00:00:00+00:00,2026-08-19 00:00:00+00:00,-0.061201609718364525,0,lstm-demo-v1,test,0.47694543,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,True
TSLA,2026-07-29 00:00:00+00:00,2026-08-26 00:00:00+00:00,0.15922498938656937,1,lstm-demo-v1,test,0.48922762,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,False
TSLA,2026-08-05 00:00:00+00:00,2026-09-02 00:00:00+00:00,0.1102784118141138,1,lstm-demo-v1,test,0.48835737,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,False
TSLA,2026-08-12 00:00:00+00:00,2026-09-10 00:00:00+00:00,0.11007293431662468,1,lstm-demo-v1,test,0.4844741,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,False
TSLA,2026-08-19 00:00:00+00:00,2026-09-17 00:00:00+00:00,0.04294832906001478,1,lstm-demo-v1,test,0.47941664,0,看跌,lstm-direction-v1,2026-09-24T01:07:12+00:00,2026-09-24T01:07:12+00:00,False
